De_novo_ID	GG_13_8_ID
OTU_149	4425669
OTU_151	4480861
OTU_150	4449288
OTU_153	4307093
OTU_152	4319938
OTU_145	*
OTU_154	4310024
OTU_155	4469167
OTU_156	1132923
OTU_158	4295230
OTU_157	4479397
OTU_159	2096960
OTU_160	2690238
OTU_162	4433676
OTU_161	4421864
OTU_164	62513
OTU_166	2026051
OTU_165	942245
OTU_167	163243
OTU_168	295622
OTU_169	4354699
OTU_170	856920
OTU_171	10512
OTU_163	*
OTU_174	2434702
OTU_172	4409730
OTU_176	1134896
OTU_177	4373482
OTU_179	869796
OTU_178	737331
OTU_181	4463108
OTU_173	*
OTU_182	32546
OTU_175	*
OTU_183	4398613
OTU_185	4450012
OTU_186	715913
OTU_187	4364405
OTU_188	4464173
OTU_189	162924
OTU_180	*
OTU_191	872701
OTU_192	823916
OTU_190	635216
OTU_184	*
OTU_193	4341056
OTU_195	4416570
OTU_194	4295707
OTU_196	4470078
OTU_199	4352657
OTU_198	192347
OTU_200	791348
OTU_197	4426438
OTU_201	4427066
OTU_202	4308369
OTU_203	1135562
OTU_205	4346675
OTU_204	4479347
OTU_206	1058630
OTU_207	151623
OTU_209	4303981
OTU_210	4371341
OTU_211	178773
OTU_214	4454082
OTU_212	1028501
OTU_213	884685
OTU_215	215097
OTU_208	*
OTU_216	4471854
OTU_218	4480598
OTU_217	73538
OTU_220	4468234
OTU_219	4443172
OTU_221	1105696
OTU_223	4432889
OTU_224	4480529
OTU_222	4469233
OTU_225	2582660
OTU_227	4296242
OTU_228	3856404
OTU_231	23513
OTU_230	4128270
OTU_233	572254
OTU_229	*
OTU_226	*
OTU_234	1731695
OTU_235	248902
OTU_236	4483963
OTU_232	*
OTU_237	2403301
OTU_238	820843
OTU_240	4468465
OTU_241	3729748
OTU_243	291725
OTU_242	12562
OTU_244	933546
OTU_246	4482374
OTU_245	4474380
OTU_247	176318
OTU_249	4449525
OTU_248	4469576
OTU_250	4468466
OTU_251	4423553
OTU_252	4428313
OTU_253	354574
OTU_239	*
OTU_255	4437359
OTU_256	3797933
OTU_254	4476604
OTU_258	180999
OTU_259	1044419
OTU_261	147969
OTU_262	694975
OTU_263	4465284
OTU_264	994357
OTU_257	*
OTU_265	787663
OTU_267	504674
OTU_266	4402903
OTU_268	4363831
OTU_260	*
OTU_271	251702
OTU_272	4435186
OTU_274	73875
OTU_273	4300690
OTU_276	16054
OTU_275	1135364
OTU_270	*
OTU_277	187225
OTU_278	520273
OTU_269	*
OTU_279	4226619
OTU_281	4386317
OTU_280	4319785
OTU_285	174516
OTU_284	948818
OTU_282	4442504
OTU_286	173969
OTU_287	4434334
OTU_283	*
OTU_290	1139021
OTU_291	174019
OTU_288	*
OTU_289	*
OTU_293	851938
OTU_294	964363
OTU_295	3437276
OTU_297	4304901
OTU_296	4483045
OTU_298	178018
OTU_300	569244
OTU_292	*
OTU_301	4403632
OTU_303	4467081
OTU_304	337161
OTU_302	97301
OTU_305	4357992
OTU_307	4377144
OTU_299	*
OTU_309	2279387
OTU_310	4480244
OTU_311	4405104
OTU_306	*
OTU_308	*
OTU_312	227343
OTU_313	471157
OTU_317	173852
OTU_315	2740950
OTU_318	1023075
OTU_320	4414476
OTU_319	1126467
OTU_314	*
OTU_322	176444
OTU_323	849393
OTU_316	*
OTU_324	3128077
OTU_325	4389066
OTU_327	4471067
OTU_328	176269
OTU_329	1101672
OTU_321	*
OTU_330	4481624
OTU_331	253584
OTU_332	295094
OTU_333	1102370
OTU_326	*
OTU_335	982030
OTU_337	4481908
OTU_339	847711
OTU_340	4397092
OTU_334	*
OTU_341	793524
OTU_336	*
OTU_342	31235
OTU_338	*
OTU_343	4355718
OTU_346	4451018
OTU_348	4321398
OTU_349	146586
OTU_344	*
OTU_345	*
OTU_351	4429981
OTU_347	*
OTU_353	47380
OTU_352	2943548
OTU_355	4425663
OTU_356	4465124
OTU_350	*
OTU_354	105109
OTU_359	233573
OTU_358	4400869
OTU_360	4316205
OTU_361	4320901
OTU_362	184394
OTU_363	4466647
OTU_364	4438565
OTU_366	4306262
OTU_365	4477696
OTU_357	*
OTU_367	710432
OTU_370	611110
OTU_371	4390365
OTU_372	4413903
OTU_373	4358602
OTU_374	125624
OTU_369	41229
OTU_376	4465803
OTU_368	*
OTU_378	289341
OTU_379	4318284
OTU_380	147707
OTU_381	4426972
OTU_382	4306461
OTU_375	*
OTU_383	181719
OTU_384	3903651
OTU_386	180857
OTU_377	*
OTU_385	294246
OTU_387	4484111
OTU_389	261240
OTU_388	148279
OTU_391	4418496
OTU_393	942880
OTU_392	241449
OTU_395	4326866
OTU_396	173810
OTU_390	*
OTU_397	187517
OTU_399	4358322
OTU_398	197329
OTU_394	*
OTU_401	4310223
OTU_403	3958693
OTU_405	4476780
OTU_404	4335484
OTU_407	300620
OTU_408	4347860
OTU_400	*
OTU_402	*
OTU_406	*
OTU_410	174911
OTU_412	4472721
OTU_413	4482377
OTU_414	4315782
OTU_409	*
OTU_415	4363066
OTU_417	1076413
OTU_416	1116679
OTU_418	1097961
OTU_419	1076668
OTU_420	4346168
OTU_411	*
OTU_421	4408801
OTU_424	4303423
OTU_422	20799
OTU_425	48084
OTU_427	177679
OTU_426	1073476
OTU_428	4453609
OTU_429	4449054
OTU_430	3892207
OTU_423	*
OTU_431	778762
OTU_432	178996
OTU_433	1066431
OTU_434	128382
OTU_436	92043
OTU_435	591439
OTU_438	925131
OTU_437	4404401
OTU_439	4368484
OTU_441	137183
OTU_440	230578
OTU_442	4441038
OTU_444	308760
OTU_445	4449236
OTU_443	*
OTU_446	*
OTU_447	*
OTU_449	342962
OTU_450	4430826
OTU_448	*
OTU_452	4343842
OTU_453	4416434
OTU_454	4366523
OTU_456	4288931
OTU_455	4396292
OTU_457	323200
OTU_451	*
OTU_459	4436046
OTU_460	4426163
OTU_463	646800
OTU_462	4455005
OTU_464	4425152
OTU_458	*
OTU_465	4453535
OTU_466	289130
OTU_467	270391
OTU_468	4397200
OTU_461	*
OTU_469	4391009
OTU_472	715913
OTU_471	2829179
OTU_473	635059
OTU_474	1105016
OTU_475	4427290
OTU_477	4388385
OTU_478	174912
OTU_479	1043082
OTU_480	1126893
OTU_470	533159
OTU_481	1146291
OTU_476	*
OTU_484	4336939
OTU_482	4300127
OTU_483	174695
OTU_485	178296
OTU_489	330285
OTU_487	576761
OTU_488	4313395
OTU_490	4401957
OTU_491	174590
OTU_493	187388
OTU_486	*
OTU_494	4441792
OTU_496	4385479
OTU_497	4468805
OTU_495	4415319
OTU_499	4449524
OTU_492	*
OTU_498	179457
OTU_500	4303851
OTU_502	3038460
OTU_501	134762
OTU_504	505251
OTU_506	948115
OTU_505	4004998
OTU_508	4301511
OTU_503	*
OTU_507	4447605
OTU_509	2046330
OTU_512	271418
OTU_511	4328026
OTU_514	4482598
OTU_513	303251
OTU_515	378660
OTU_517	4438983
OTU_516	360315
OTU_518	176077
OTU_519	4295725
OTU_510	*
OTU_521	12564
OTU_523	1097113
OTU_524	4458227
OTU_525	4202174
OTU_526	46910
OTU_528	941024
OTU_527	176785
OTU_529	134470
OTU_520	*
OTU_522	*
OTU_530	4335578
OTU_532	321440
OTU_531	3537197
OTU_533	4336949
OTU_535	197233
OTU_534	4369131
OTU_536	177153
OTU_539	317013
OTU_541	268730
OTU_537	*
OTU_540	*
OTU_538	*
OTU_542	*
OTU_543	4423978
OTU_546	4339358
OTU_545	4456892
OTU_547	531046
OTU_548	2617854
OTU_549	730906
OTU_550	1062652
OTU_551	4332878
OTU_544	*
OTU_552	4463045
OTU_554	789561
OTU_553	235212
OTU_556	751490
OTU_557	4469164
OTU_558	299441
OTU_559	492805
OTU_560	672440
OTU_561	4478815
OTU_555	*
OTU_563	4388068
OTU_565	834829
OTU_567	4310398
OTU_568	4474760
OTU_562	*
OTU_569	971353
OTU_564	*
OTU_566	*
OTU_571	4406782
OTU_570	4396235
OTU_573	134786
OTU_572	4394308
OTU_576	3746876
OTU_577	4396877
OTU_578	1082997
OTU_579	73760
OTU_575	264657
OTU_574	*
OTU_582	4350466
OTU_584	4307383
OTU_585	4430581
OTU_583	*
OTU_586	369390
OTU_580	*
OTU_581	*
OTU_587	4476065
OTU_588	4349519
OTU_589	1139973
OTU_591	851682
OTU_592	851936
OTU_595	4395697
OTU_593	4353660
OTU_596	4317480
OTU_590	*
OTU_594	*
OTU_597	197623
OTU_598	4393499
OTU_600	4483895
OTU_601	210896
OTU_603	505565
OTU_605	3013444
OTU_599	*
OTU_604	*
OTU_602	*
OTU_608	4366834
OTU_606	*
OTU_609	257909
OTU_611	4318177
OTU_610	520720
OTU_613	515590
OTU_612	832848
OTU_614	157054
OTU_615	4439530
OTU_616	4357714
OTU_617	4330939
OTU_607	*
OTU_618	179744
OTU_620	4307092
OTU_619	33112
OTU_622	160679
OTU_624	827195
OTU_625	842193
OTU_621	*
OTU_627	4334844
OTU_623	*
OTU_629	4468125
OTU_628	4434799
OTU_630	589123
OTU_631	2211108
OTU_633	4422519
OTU_632	591118
OTU_635	292967
OTU_636	4378081
OTU_626	*
OTU_639	296082
OTU_634	*
OTU_640	174573
OTU_641	835900
OTU_642	186851
OTU_643	163695
OTU_644	250757
OTU_637	*
OTU_645	886735
OTU_647	4438545
OTU_649	4430826
OTU_638	*
OTU_650	1143975
OTU_651	494906
OTU_648	*
OTU_652	4380358
OTU_653	3319464
OTU_646	*
OTU_656	547181
OTU_654	1141335
OTU_657	4352242
OTU_655	205781
OTU_659	577380
OTU_660	4154872
OTU_661	181849
OTU_662	322625
OTU_664	188785
OTU_665	4381635
OTU_666	4408418
OTU_667	4454153
OTU_658	*
OTU_668	2442706
OTU_670	4417708
OTU_663	*
OTU_672	4423201
OTU_674	262148
OTU_673	2954730
OTU_669	*
OTU_671	*
OTU_675	1093402
OTU_676	337057
OTU_679	4330852
OTU_680	348009
OTU_681	333123
OTU_682	345144
OTU_677	*
OTU_683	4481455
OTU_678	*
OTU_684	198893
OTU_685	4432463
OTU_689	4439398
OTU_688	3958693
OTU_691	750071
OTU_687	*
OTU_686	*
OTU_690	*
OTU_693	4466511
OTU_694	4484010
OTU_692	*
OTU_697	4448095
OTU_699	199182
OTU_696	*
OTU_700	278399
OTU_695	*
OTU_698	*
OTU_703	4472174
OTU_704	4458576
OTU_705	4478840
OTU_706	4475561
OTU_702	*
OTU_701	*
OTU_707	14270
OTU_709	258179
OTU_708	303320
OTU_710	4466006
OTU_711	2530636
OTU_713	4477547
OTU_716	725212
OTU_712	*
OTU_714	*
OTU_715	*
OTU_717	262801
OTU_718	4450025
OTU_720	239461
OTU_721	1066814
OTU_722	4369901
OTU_723	4454082
OTU_725	172296
OTU_719	*
OTU_724	4454565
OTU_727	102126
OTU_728	36378
OTU_730	110321
OTU_731	4402042
OTU_726	*
OTU_732	4380450
OTU_729	*
OTU_735	2136916
OTU_737	4461906
OTU_736	282360
OTU_733	*
OTU_734	*
OTU_739	4473893
OTU_741	4335376
OTU_740	4411138
OTU_743	4368792
OTU_738	*
OTU_744	*
OTU_746	173722
OTU_742	*
OTU_745	*
OTU_748	354254
OTU_747	69988
OTU_749	4387706
OTU_751	4448492
OTU_752	198893
OTU_750	4406302
OTU_754	258140
OTU_756	4469401
OTU_757	4465158
OTU_758	4470870
OTU_760	177271
OTU_755	*
OTU_759	4308127
OTU_763	500138
OTU_761	4348472
OTU_762	197539
OTU_765	92629
OTU_764	4466203
OTU_767	937961
OTU_766	4415177
OTU_768	4431355
OTU_769	1135830
OTU_770	180881
OTU_771	137183
OTU_773	4311647
OTU_775	552235
OTU_753	*
OTU_776	291045
OTU_772	*
OTU_777	4406819
OTU_778	921020
OTU_774	*
OTU_779	*
OTU_783	4326080
OTU_780	*
OTU_781	*
OTU_784	885628
OTU_785	4449518
OTU_782	*
OTU_786	4435199
OTU_787	4479484
OTU_788	4374042
OTU_790	190026
OTU_791	171617
OTU_792	4447260
OTU_793	196578
OTU_794	1053321
OTU_796	610111
OTU_797	4303852
OTU_798	4470246
OTU_789	*
OTU_799	4454750
OTU_800	4451781
OTU_801	914364
OTU_802	1035532
OTU_803	97049
OTU_805	4479443
OTU_804	114400
OTU_806	230132
OTU_808	178387
OTU_807	858535
OTU_809	558387
OTU_811	4315787
OTU_812	177047
OTU_813	4428676
OTU_814	294791
OTU_816	4464602
OTU_815	4319281
OTU_810	*
OTU_795	*
OTU_818	162491
OTU_819	36611
OTU_817	4418586
OTU_821	4377147
OTU_820	276837
OTU_823	4419459
OTU_822	4435578
OTU_826	4404459
OTU_827	941632
OTU_829	29625
OTU_824	*
OTU_825	*
OTU_830	1046624
OTU_828	*
OTU_831	*
OTU_833	843569
OTU_834	337511
OTU_835	*
OTU_837	*
OTU_836	*
OTU_832	*
OTU_839	*
OTU_838	*
OTU_843	950922
OTU_840	*
OTU_841	*
OTU_844	4389141
OTU_845	158404
OTU_842	*
OTU_848	4338990
OTU_849	4404830
OTU_851	351800
OTU_847	*
OTU_846	*
OTU_854	4306773
OTU_855	876114
OTU_850	*
OTU_853	1667433
OTU_852	*
OTU_856	527485
OTU_859	2498994
OTU_860	4407703
OTU_861	260859
OTU_863	35260
OTU_862	806182
OTU_858	*
OTU_857	*
OTU_866	1146349
OTU_868	2368865
OTU_864	*
OTU_867	308157
OTU_869	181961
OTU_870	147100
OTU_865	*
OTU_874	4375860
OTU_872	*
OTU_871	*
OTU_873	*
OTU_876	1062569
OTU_875	*
OTU_880	4457836
OTU_881	575652
OTU_877	*
OTU_878	*
OTU_879	*
OTU_885	3130888
OTU_883	4441573
OTU_884	1129883
OTU_888	207833
OTU_889	174285
OTU_890	176850
OTU_886	*
OTU_882	*
OTU_887	*
OTU_891	239827
OTU_892	2941399
OTU_893	817630
OTU_895	263687
OTU_896	4413619
OTU_898	4341205
OTU_897	14035
OTU_899	3694603
OTU_900	186760
OTU_901	229348
OTU_902	4324467
OTU_904	300152
OTU_906	303554
OTU_894	*
OTU_907	4465204
OTU_903	*
OTU_905	*
OTU_910	76393
OTU_911	1052181
OTU_912	1032520
OTU_913	4364838
OTU_914	4403441
OTU_908	*
OTU_915	4423242
OTU_916	4462592
OTU_917	4454529
OTU_919	165118
OTU_918	817507
OTU_909	*
OTU_920	677165
OTU_921	4362620
OTU_922	4417061
OTU_923	4303249
OTU_927	4423790
OTU_928	512894
OTU_925	*
OTU_926	*
OTU_929	4366640
OTU_924	*
OTU_930	277889
OTU_931	1107652
OTU_932	4442299
OTU_933	4302627
OTU_935	4433523
OTU_934	4391560
OTU_937	4453876
OTU_936	4366487
OTU_939	214360
OTU_938	989109
OTU_941	2613485
OTU_943	166718
OTU_940	1109505
OTU_945	4343226
OTU_947	179547
OTU_948	316428
OTU_942	*
OTU_949	4356697
OTU_944	*
OTU_950	73000
OTU_946	*
OTU_951	4446120
OTU_953	1016369
OTU_954	21214
OTU_952	25695
OTU_958	1145921
OTU_956	*
OTU_955	*
OTU_957	*
OTU_960	*
OTU_959	*
OTU_964	70461
OTU_961	*
OTU_966	223377
OTU_962	*
OTU_968	953084
OTU_963	*
OTU_969	4462432
OTU_970	1503863
OTU_965	*
OTU_973	4300206
OTU_971	*
OTU_972	*
OTU_976	4469867
OTU_977	4463767
OTU_978	106737
OTU_974	*
OTU_975	*
OTU_979	4403854
OTU_980	4414489
OTU_982	335884
OTU_983	4467977
OTU_984	4388316
OTU_985	313089
OTU_986	1142110
OTU_967	*
OTU_987	1013166
OTU_988	108905
OTU_981	*
OTU_989	1136387
OTU_991	964220
OTU_990	781371
OTU_992	972090
OTU_993	4439469
OTU_997	4473883
OTU_998	4479603
OTU_994	*
OTU_995	*
OTU_1000	19611
OTU_996	*
OTU_1001	35786
OTU_1003	3398150
OTU_1002	4484382
OTU_999	*
